/home/ec2-user/.local/lib/python3.9/site-packages/torchmetrics/utilities/prints.py:36: UserWarning: Metric `AUC` will save all targets and predictions in buffer. For large datasets this may lead to large memory footprint.
  warnings.warn(*args, **kwargs)
Starting from step 0
Training for 8001 steps
10 9.947913408279419
20 14.216657876968384
30 19.583970546722412
40 25.107820987701416
50 32.06983995437622
60 37.978763818740845
70 42.13151836395264
80 48.155306577682495
90 52.8524272441864
100 61.32688570022583
110 66.44895553588867
120 71.69925928115845
130 77.45644855499268
140 83.88575673103333
150 88.64799571037292
160 94.67949223518372
170 100.11400866508484
180 104.57234907150269
190 112.1719262599945
200 118.45376706123352
210 124.6915762424469
220 129.53799200057983
230 133.758962392807
240 142.4954376220703
250 148.05518531799316
260 152.98657512664795
270 158.13979482650757
280 165.40749263763428
290 170.83390951156616
300 175.09599900245667
310 181.5257658958435
320 185.86468768119812
330 194.57406425476074

340 199.71828603744507
350 205.05234098434448
360 210.80225253105164
370 218.33736753463745
380 223.36383843421936
390 228.8233654499054
400 233.96219778060913
410 238.33189845085144
420 245.93630576133728
430 251.13034510612488
440 256.60789728164673
450 261.83912539482117
460 266.28343439102173
470 274.640908241272
480 280.46960258483887
490 285.28621101379395
500 Loss: 134.69
In Logging <wandb.sdk.wandb_run.Run object at 0x7f8473b1fa00> 0
500 290.76453256607056
In Logging <wandb.sdk.wandb_run.Run object at 0x7f8473b1fa00> 0
logging
510 330.14177918434143
520 336.6455249786377
530 341.1452782154083
540 347.70410323143005
550 352.4648509025574
560 359.8700613975525
570 365.1812708377838
580 370.4416494369507
590 375.94291734695435
600 381.7847354412079
610 387.5085566043854
620 393.6101007461548
630 398.5820014476776
640 403.9249141216278
650 411.4043848514557
660 417.3289840221405
670 423.25714802742004
680 427.85818886756897
690 432.3391695022583
700 440.1405665874481
710 445.38514041900635
720 451.206999540329
730 456.6044044494629
740 463.4286515712738
750 469.69570088386536
760 474.5750422477722
770 480.5683100223541
780 485.0016601085663
790 492.5684881210327
800 497.2560842037201
810 503.5842046737671
820 508.54826259613037
830 515.4472074508667
840 520.0269327163696
850 526.4184939861298
860 532.3286621570587
870 536.3551986217499
880 545.1229252815247
890 551.0170364379883
900 556.6688289642334
910 562.1050364971161
920 565.8520934581757
930 574.019659280777
940 579.4098114967346
950 584.0077457427979
960 589.6320488452911
970 597.1672785282135
980 602.4895904064178
990 607.461588382721
1000 Loss: 126.19
In Logging <wandb.sdk.wandb_run.Run object at 0x7f8473b1fa00> 0
1000 613.456549167633
In Logging <wandb.sdk.wandb_run.Run object at 0x7f8473b1fa00> 0
logging
1010 660.5970075130463
1020 668.6136469841003
1030 673.8098633289337
1040 679.190477848053
1050 684.8708138465881
1060 691.6519646644592
1070 697.406035900116
1080 703.4990594387054
1090 708.9622054100037
1100 713.3965246677399
1110 720.279176235199
1120 726.8802230358124
1130 732.2329030036926
1140 736.9497873783112
1150 741.5613443851471
1160 749.4177498817444
1170 755.6271493434906
1180 759.9978549480438
1190 765.7186603546143
1200 771.855046749115
1210 777.267988204956
1220 783.0577034950256
1230 788.301869392395
1240 792.4477841854095
1250 800.456907749176
1260 805.6994824409485
1270 811.6739437580109
1280 817.5002908706665
1290 824.1652817726135
1300 829.0932066440582
1310 834.4101729393005
1320 840.7394487857819
1330 844.6021592617035
1340 852.2153987884521
1350 858.3063697814941
1360 863.8032374382019
1370 868.5405225753784
1380 872.9988377094269
1390 880.9360184669495
1400 886.2456293106079
1410 890.4511125087738
1420 896.4701843261719
1430 903.6506242752075
1440 909.6173460483551
1450 914.3451173305511
1460 920.5783007144928
1470 924.6414706707001
1480 933.1050610542297
1490 937.8636484146118
1500 Loss: 125.43
In Logging <wandb.sdk.wandb_run.Run object at 0x7f8473b1fa00> 0
1500 944.1000399589539
In Logging <wandb.sdk.wandb_run.Run object at 0x7f8473b1fa00> 0
logging
1510 992.6657478809357
1520 998.8965981006622
1530 1003.7719042301178
1540 1009.4268119335175
1550 1014.4805471897125
1560 1019.6549067497253
1570 1026.87433385849
1580 1033.055492401123
1590 1038.1078097820282
1600 1042.9994790554047
1610 1047.8371851444244
1620 1055.5047550201416
1630 1061.080402135849
1640 1066.548989534378
1650 1071.9070479869843
1660 1078.7187378406525
1670 1084.2552587985992
1680 1089.2080068588257
1690 1094.9015731811523
1700 1099.9038372039795
1710 1107.9911160469055
1720 1113.038582086563
1730 1118.6336834430695
1740 1123.9324073791504
1750 1130.7567675113678
1760 1135.7432374954224
1770 1141.4122092723846
1780 1147.262545824051
1790 1151.3015451431274
1800 1158.2616274356842
1810 1164.2278559207916
1820 1169.8673510551453
1830 1175.081328868866
1840 1179.081918478012
1850 1187.3080220222473
1860 1192.9158825874329
1870 1197.4770092964172
